epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x
0.0041 118.6543761 100 0.001877175238 0.003474274921 106.2181254 18.65437609 3.312490617 1.789762038 
0.00412 118.745373 100 0.00188633219 0.003491222603 106.2484577 18.74537304 3.312490617 1.789762038 
0.00414 118.83637 100 0.001895489143 0.003508170286 106.27879 18.83637 3.312490617 1.789762038 
0.00416 118.927367 100 0.001904646095 0.003525117968 106.3091223 18.92736696 3.312490617 1.789762038 
0.00418 119.0183639 100 0.001913803048 0.003542065651 106.3394546 19.01836391 3.312490617 1.789762038 
0.0042 119.1093609 100 0.00192296 0.003559013333 106.369787 19.10936087 3.312490617 1.789762038 
0.00422 119.2003578 100 0.001932116952 0.003575961016 106.4001193 19.20035783 3.312490617 1.789762038 
0.00424 119.2913548 100 0.001941273905 0.003592908698 106.4304516 19.29135478 3.312490617 1.789762038 
0.00426 119.3823517 100 0.001950430857 0.003609856381 106.4607839 19.38235174 3.312490617 1.789762038 
0.00428 119.4733487 100 0.00195958781 0.003626804063 106.4911162 19.4733487 3.312490617 1.789762038 
0.0043 119.5643457 100 0.001968744762 0.003643751746 106.5214486 19.56434565 3.312490617 1.789762038 
0.00432 119.6553426 100 0.001977901714 0.003660699429 106.5517809 19.65534261 3.312490617 1.789762038 
0.00434 119.7463396 100 0.001987058667 0.003677647111 106.5821132 19.74633957 3.312490617 1.789762038 
0.00436 119.8373365 100 0.001996215619 0.003694594794 106.6124455 19.83733652 3.312490617 1.789762038 
0.00438 119.9283335 100 0.002005372571 0.003711542476 106.6427778 19.92833348 3.312490617 1.789762038 
0.0044 120.0193304 100 0.002014529524 0.003728490159 106.6731101 20.01933043 3.312490617 1.789762038 
0.00442 120.1103274 100 0.002023686476 0.003745437841 106.7034425 20.11032739 3.312490617 1.789762038 
0.00444 120.2013243 100 0.002032843429 0.003762385524 106.7337748 20.20132435 3.312490617 1.789762038 
0.00446 120.2923213 100 0.002042000381 0.003779333206 106.7641071 20.2923213 3.312490617 1.789762038 
0.00448 120.3833183 100 0.002051157333 0.003796280889 106.7944394 20.38331826 3.312490617 1.789762038 
0.0045 120.4743152 100 0.002060314286 0.003813228571 106.8247717 20.47431522 3.312490617 1.789762038 
0.00452 120.5653122 100 0.002069471238 0.003830176254 106.8551041 20.56531217 3.312490617 1.789762038 
0.00454 120.6563091 100 0.00207862819 0.003847123937 106.8854364 20.65630913 3.312490617 1.789762038 
0.00456 120.7473061 100 0.002087785143 0.003864071619 106.9157687 20.74730609 3.312490617 1.789762038 
0.00458 120.838303 100 0.002096942095 0.003881019302 106.946101 20.83830304 3.312490617 1.789762038 
0.0046 120.9293 100 0.002106099048 0.003897966984 106.9764333 20.9293 3.312490617 1.789762038 
0.00462 121.020297 100 0.002115256 0.003914914667 107.0067657 21.02029696 3.312490617 1.789762038 
0.00464 121.1112939 100 0.002124412952 0.003931862349 107.037098 21.11129391 3.312490617 1.789762038 
0.00466 121.2022909 100 0.002133569905 0.003948810032 107.0674303 21.20229087 3.312490617 1.789762038 
0.00468 121.2932878 100 0.002142726857 0.003965757714 107.0977626 21.29328783 3.312490617 1.789762038 
0.0047 121.3842848 100 0.00215188381 0.003982705397 107.1280949 21.38428478 3.312490617 1.789762038 
0.00472 121.4752817 100 0.002161040762 0.003999653079 107.1584272 21.47528174 3.312490617 1.789762038 
0.00474 121.5662787 100 0.002170197714 0.004016600762 107.1887596 21.5662787 3.312490617 1.789762038 
0.00476 121.6572757 100 0.002179354667 0.004033548444 107.2190919 21.65727565 3.312490617 1.789762038 
0.00478 121.7482726 100 0.002188511619 0.004050496127 107.2494242 21.74827261 3.312490617 1.789762038 
0.0048 121.8392696 100 0.002197668571 0.00406744381 107.2797565 21.83926957 3.312490617 1.789762038 
0.00482 121.9302665 100 0.002206825524 0.004084391492 107.3100888 21.93026652 3.312490617 1.789762038 
0.00484 122.0212635 100 0.002215982476 0.004101339175 107.3404212 22.02126348 3.312490617 1.789762038 
0.00486 122.1122604 100 0.002225139429 0.004118286857 107.3707535 22.11226043 3.312490617 1.789762038 
0.00488 122.2032574 100 0.002234296381 0.00413523454 107.4010858 22.20325739 3.312490617 1.789762038 
0.0049 122.2942543 100 0.002243453333 0.004152182222 107.4314181 22.29425435 3.312490617 1.789762038 
0.00492 122.3852513 100 0.002252610286 0.004169129905 107.4617504 22.3852513 3.312490617 1.789762038 
0.00494 122.4762483 100 0.002261767238 0.004186077587 107.4920828 22.47624826 3.312490617 1.789762038 
0.00496 122.5672452 100 0.00227092419 0.00420302527 107.5224151 22.56724522 3.312490617 1.789762038 
0.00498 122.6582422 100 0.002280081143 0.004219972952 107.5527474 22.65824217 3.312490617 1.789762038 
0.005 122.7492391 100 0.002289238095 0.004236920635 107.5830797 22.74923913 3.312490617 1.789762038 
0.00502 122.8402361 100 0.002298395048 0.004253868317 107.613412 22.84023609 3.312490617 1.789762038 
0.00504 122.931233 100 0.002307552 0.004270816 107.6437443 22.93123304 3.312490617 1.789762038 
0.00506 123.02223 100 0.002316708952 0.004287763683 107.6740767 23.02223 3.312490617 1.789762038 
0.00508 123.113227 100 0.002325865905 0.004304711365 107.704409 23.11322696 3.312490617 1.789762038 
0.0051 123.2042239 100 0.002335022857 0.004321659048 107.7347413 23.20422391 3.312490617 1.789762038 
0.00512 123.2952209 100 0.00234417981 0.00433860673 107.7650736 23.29522087 3.312490617 1.789762038 
0.00514 123.3862178 100 0.002353336762 0.004355554413 107.7954059 23.38621783 3.312490617 1.789762038 
0.00516 123.4772148 100 0.002362493714 0.004372502095 107.8257383 23.47721478 3.312490617 1.789762038 
0.00518 123.5682117 100 0.002371650667 0.004389449778 107.8560706 23.56821174 3.312490617 1.789762038 
0.0052 123.6592087 100 0.002380807619 0.00440639746 107.8864029 23.6592087 3.312490617 1.789762038 
0.00522 123.7502057 100 0.002389964571 0.004423345143 107.9167352 23.75020565 3.312490617 1.789762038 
0.00524 123.8412026 100 0.002399121524 0.004440292825 107.9470675 23.84120261 3.312490617 1.789762038 
0.00526 123.9321996 100 0.002408278476 0.004457240508 107.9773999 23.93219957 3.312490617 1.789762038 
